Urban,POP2010,OHU2010,NUMGQTRS,LILATracts_halfAnd10,LILATracts_Vehicle,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LATracts_half,LATracts1,LATracts10,LAPOP05_10,lawhitehalf,lablackhalf,laasianhalf,laomultirhalf,lawhite1,lanhopi1,laaian1,lahisp1,lahunv1,lahunv10,laasian20,lahunv20,lasnap20,TractLOWI,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractHispanic,TractHUNV,TractSNAP,ZScore_EstMedVal
1,1954,810,1,0,0,0,2.2,153839,1,0,0,1919.004368,1445.126021,154.8453798,184.4776041,128.5553715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,1473,159,186,0,6,117,23,4,1.5393970776256578
1,2684,1216,2,0,0,0,11.4,78884,1,0,0,836.326016,578.461131,84.98031721,93.09569599,65.3126619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007,1340,549,460,10,30,308,266,19,0.8250078562798155
1,4129,1885,0,0,0,0,6.2,96483,1,0,0,804.8446669,509.5517906,79.23086372,141.4006592,72.5274066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018,2419,481,827,5,15,399,170,29,0.6459574882712685
1,3136,1458,2,0,0,0,4.2,151250,1,0,0,2833.908589,2008.146473,257.8971598,336.3803716,220.5068072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582,2185,307,381,1,10,229,109,37,0.8532789670180072
1,4197,1579,0,0,0,0,1.5,199917,1,0,0,3308.010613,2378.730789,376.7925944,312.2450061,232.396295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,2983,508,392,7,6,226,26,28,2.0457399199494235
1,4597,2398,12,0,0,1,6.3,67750,0,0,0,20.87868232,8.925238349,3.745412428,5.498584218,2.550068092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1003,1940,724,1431,16,20,434,169,85,0.9409919003339352
1,2603,1477,1,0,0,1,8.9,63056,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581,1205,625,384,4,19,369,271,80,0.4426229610388902
1,2530,1406,0,0,0,1,31.9,36179,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430,711,507,961,5,16,370,554,81,-0.3094610746245409
1,3957,1570,32,0,0,1,29.8,36250,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2506,674,800,1748,15,38,829,477,272,-0.0100772609098449
1,3114,1098,94,0,0,1,29.2,28987,0,0,0,123.6114502,19.64182854,67.09577942,16.76661682,20.10722733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1892,416,734,1430,4,11,615,229,218,-0.4326941214320429
1,3643,1485,14,1,1,1,21.5,44148,1,0,0,2393.962357,373.2078274,513.8320749,1194.810237,296.31589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945,652,763,1718,9,17,449,356,296,-0.4856118415317349
1,3137,1353,0,1,1,1,11.1,59665,1,0,0,3094.657875,769.1964137,719.1971838,1185.452036,400.8804991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1143,778,725,1208,3,17,410,150,79,-0.2413204487427457
1,3243,1279,15,1,1,1,18.2,48295,1,0,0,2414.050561,376.7420938,791.1305243,846.2447388,379.1897907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1546,475,1077,1162,10,19,559,208,232,-0.2224730415839513
1,3965,1223,0,1,1,1,32.4,50615,1,0,0,3440.641691,353.8606907,657.2062037,1868.84425,523.3883198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1871,412,793,2110,21,27,729,237,295,-0.5744121252606702
1,3910,1064,29,1,1,1,42.6,30735,1,0,0,3558.226465,569.6265598,493.7659285,1439.231952,975.2597375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2518,633,550,1548,48,43,1564,124,224,-0.392099706013101
1,3035,891,5,1,0,1,31.0,40216,1,0,0,1717.156601,205.1172584,299.4014743,934.1722713,268.1004569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916,422,444,1643,3,25,704,162,217,-0.5146078525452648
1,3450,1519,6,0,0,1,43.1,19813,0,0,0,126.0413463,81.71884488,11.90396221,15.39212658,13.98449967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2215,752,447,1623,8,27,734,499,198,-0.1612189683178694
1,4381,1462,44,0,0,1,17.7,60488,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983,1598,499,540,19,56,2529,312,266,-0.5490406156238316
1,4649,1300,47,1,0,1,31.3,32214,1,0,0,996.8116017,136.2029831,227.7236765,404.1019176,210.8230665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2509,783,769,1409,27,68,2285,368,252,-0.6929333202784735
1,4718,1294,231,0,0,1,36.1,30984,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3077,1195,599,675,20,143,3092,438,331,-0.4823497902927128
1,4113,1211,47,0,0,1,30.7,38421,0,0,0,255.4377094,32.93665111,59.6687228,111.4050988,45.16525372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2674,859,777,1409,32,72,1574,246,313,-0.5432414134211255
1,2145,710,314,0,0,1,19.3,62500,0,0,0,0.272216991,0.081362996,0.052685201,0.121761059,0.013126197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949,618,604,570,15,30,372,155,110,-0.2119619875915467
1,5930,1854,74,0,0,1,22.7,42872,0,0,0,70.47851968,11.10782433,5.05424118,37.44043434,16.82369518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2951,1437,1206,1436,37,82,2608,335,223,-0.5399793621821034
1,4596,1680,9,1,1,1,18.8,57525,1,0,0,2038.467364,401.4160841,521.9107932,696.523205,387.7890297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369,908,1292,1542,18,38,1074,295,347,-0.3319329831600265
1,2493,881,33,0,0,1,19.1,56958,0,0,0,6.903664112,0.942791164,2.402596712,1.76393187,1.76393187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1238,497,668,709,1,31,739,127,73,-0.1343976581303542
1,5048,2218,40,0,0,0,7.5,112544,1,0,0,2616.054856,1628.532329,273.2972491,463.7914016,219.6361838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1026,2694,700,1112,30,37,442,263,74,0.2697342453707184
1,3428,1370,6,0,0,0,6.4,97734,0,0,0,86.59265959,51.31147158,17.64850342,14.07089293,3.561789513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496,1542,536,997,20,19,380,46,72,0.6354464342788639
1,3719,1488,8,0,0,0,14.8,88194,1,0,0,529.5895302,163.7121478,171.8826321,109.5297107,71.5612921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052,1532,837,852,6,39,472,51,136,0.4495095136546036
1,5885,2005,152,1,1,1,22.4,35000,1,0,0,4160.087516,835.1739585,1110.305685,1155.499922,996.5315051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3086,1174,1528,1885,39,51,1546,333,194,-0.3747020994049831
1,3414,1002,0,0,0,1,37.8,27430,0,0,0,6.05552721,1.548029423,1.274847746,0.728484452,2.504165411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2777,879,552,634,30,44,1916,147,174,-0.5780366266373614
1,4351,1263,6,1,0,1,20.3,65313,1,0,0,1307.176241,285.7360528,376.9242679,232.2161027,385.1595773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1594,1092,919,872,15,55,2096,197,253,-0.4500917280401608
1,6746,1851,135,0,0,1,35.1,35966,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4255,2088,505,711,7,169,5044,358,412,-0.6081199880638987
1,2598,738,4,1,0,1,18.8,67679,1,0,0,1600.606719,424.5512655,270.2675248,155.7220575,726.56401,0.0,0.0,0.0,0.0,0.045077335,0.0,0.0,0.0,0.0,1275,856,350,222,17,33,1639,58,84,-0.6998198728941869
1,3954,1081,51,0,0,1,29.4,38110,0,0,0,109.9944143,37.72353685,28.13929451,6.325443894,37.03795075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2443,913,825,381,19,66,2566,199,267,-0.6349412982514138
1,3931,1196,63,0,0,1,38.8,27500,0,0,0,11.3797617,3.645943165,2.872561216,0.441932499,4.198358536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2627,802,1504,250,59,35,1945,333,313,-0.7143178784009518
1,6027,2022,53,1,1,1,24.6,59732,1,0,0,3999.670623,1018.531022,1634.211151,388.8217861,827.7451558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2572,1401,2216,693,155,74,2097,351,312,-0.5131580519945883
1,4109,1714,10,0,0,0,10.8,86442,1,0,0,2530.038613,821.9942655,1213.225363,215.3113644,239.9506212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090,1133,2127,311,26,35,558,83,98,-0.1739047231362887
1,2425,715,688,0,0,0,6.2,79773,1,0,0,2424.999992,965.9999968,806.0000033,232.9999996,372.9999959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623,966,806,233,22,25,424,51,68,-0.183690876853355
1,2706,1105,40,0,0,0,5.8,84667,1,0,0,2412.359744,1047.608692,585.7493303,443.4472336,320.7448735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346,1219,626,484,5,11,354,74,35,0.1939821665978715
1,2671,996,351,0,0,0,6.4,119896,1,0,0,780.3159325,523.9991038,74.09668989,115.5101271,62.15718053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229,1490,355,521,16,10,257,56,33,0.9239567438634864
1,5991,2543,0,0,0,0,3.7,130903,1,1,0,5753.57389,2264.688732,1815.533614,1141.588093,504.8924759,1628.585303,11.82687922,8.736613489,318.4065859,15.56991597,0.0,0.0,0.0,0.0,450,2352,1874,1210,15,12,464,28,14,0.694525806718931
1,4054,1638,0,1,0,1,16.9,60526,1,0,0,1926.463155,590.1471618,917.2764158,119.3582629,266.2505023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447,901,2188,190,38,25,817,216,180,-0.3101859748998791
1,4167,1653,17,1,0,1,20.1,69643,1,0,0,3592.446348,1127.365539,1545.668906,321.6323533,547.6680627,41.83004165,0.0,3.341393908,30.78301641,1.368846277,0.0,0.0,0.0,0.0,1893,1211,1917,345,29,29,676,138,167,-0.2097872867655319
1,3323,1080,2,0,0,1,41.3,25261,0,0,0,410.9907502,56.19385754,252.1802921,8.371240785,82.6889409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2427,419,1753,99,84,42,1258,239,326,-1.032186649136773
1,4972,1476,2,1,1,1,37.2,41901,1,0,0,2966.120769,467.7025387,1348.738596,63.79244654,978.8779413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3485,812,2349,114,109,28,2263,145,394,-0.6900337191771205
1,5492,1702,82,1,0,1,38.1,26881,1,0,0,1566.767212,308.5079616,560.2483592,64.80917998,601.8004037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4286,985,2546,234,52,51,2476,370,507,-0.7473008409288421
1,7207,2259,20,1,0,1,31.9,33009,1,0,0,669.9785155,130.978006,414.4718849,21.94820744,101.3286523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4675,1374,3201,330,70,44,3236,381,564,-0.7081562260605767
1,5547,1691,0,1,1,1,38.4,29577,1,0,0,3980.80478,686.3511297,1856.239163,256.3597293,1127.106918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4062,939,2377,424,35,31,2548,481,722,-1.0959778733665388
1,3414,960,127,1,1,1,45.7,28068,1,0,0,2800.042432,553.0832639,887.600631,70.77068889,1204.552493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2349,656,1119,87,58,47,2029,334,259,-0.8281272216290566
1,3552,984,50,1,0,1,23.9,54479,1,0,0,3137.144203,666.3442942,1356.423438,107.6396147,971.3350289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2129,732,1570,130,30,24,1733,86,140,-0.935050012241448
1,2255,601,62,1,0,1,30.9,43828,1,0,0,2255.000026,504.0000063,942.0000123,52.00000064,702.0000112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1132,504,942,52,31,24,1169,79,157,-0.8600228337439395
1,3152,838,4,1,1,1,19.3,53393,1,0,0,3144.059628,391.4043316,1277.846646,143.5061023,1245.568504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430,393,1281,144,63,23,1559,111,205,-0.9361373626544554
1,5229,1463,74,1,0,1,23.5,37241,1,0,0,835.4642506,158.443759,252.7740242,28.17062534,380.4146246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2879,1248,1691,146,46,39,3143,295,291,-0.8600228337439395
1,4306,1094,6,0,0,1,30.3,36939,0,0,0,76.58014101,11.77271836,20.53741243,30.48926952,13.78074259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2942,1137,1028,217,40,40,2891,211,395,-0.512070701581581
1,3122,802,19,0,0,1,34.2,29688,0,0,0,156.9937405,39.49903593,33.31690236,6.94348917,75.85658479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2889,825,795,62,59,26,2117,234,317,-0.7574494447835776
1,5063,1402,12,1,0,1,28.6,32132,1,0,0,648.3840616,110.3795933,228.6984511,5.877694149,300.612426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3498,1015,1723,134,80,44,2977,262,426,-0.7795589031813941
1,4696,1437,39,1,1,1,26.4,40655,1,0,0,4529.192786,738.9858573,2286.575989,184.6005023,1167.393165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3093,784,2343,191,119,38,1830,215,533,-0.8223280194263506
1,2887,1121,139,0,0,0,16.2,79167,1,1,0,2885.863247,497.8121338,1915.254297,125.9290713,322.8677253,116.758018,0.0,0.910115302,45.84520106,4.700242069,0.0,0.0,0.0,0.0,897,498,1916,126,13,11,368,153,88,-0.0803925876176548
1,3308,1373,23,0,0,0,5.5,117173,1,1,0,3308.000029,978.0000066,1791.00001,252.9999992,268.0000008,918.9032811,9.000000037,7.000000188,241.0860374,36.55850221,0.0,0.0,0.0,0.0,428,978,1791,253,9,9,268,37,53,0.5629564067450392
1,2805,1137,0,0,0,0,11.1,115362,1,1,0,2363.871258,858.174579,1135.536596,148.043504,197.8472513,266.4407994,2.243818956,5.122272132,50.11093962,8.834230012,0.0,0.0,0.0,0.0,524,974,1393,180,7,20,268,39,84,0.438998459662199
1,2406,899,9,0,0,1,21.6,49375,0,0,0,352.324878,62.30925173,231.1578489,13.95027281,41.89504606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386,385,1506,139,18,22,427,80,175,-0.4830746905680511
